,database_noise,noise_file_path
0,wham,/home/ubuntu/Data/wham/wham_noise/tr/012o030z_0.94807_405c020d_-0.94807.wav
1,wham,/home/ubuntu/Data/wham/wham_noise/tr/01ra010k_1.536_013c0202_-1.536.wav
2,wham,/home/ubuntu/Data/wham/wham_noise/tr/01zc0206_0.4321_01wo030l_-0.4321.wav
3,wham,/home/ubuntu/Data/wham/wham_noise/tr/20pa010i_1.078_40nc020v_-1.078.wav
4,wham,/home/ubuntu/Data/wham/wham_noise/tr/208a0105_1.7693_015c020s_-1.7693.wav
5,wham,/home/ubuntu/Data/wham/wham_noise/tr/020c020l_0.071792_20ia010q_-0.071792.wav
6,wham,/home/ubuntu/Data/wham/wham_noise/tr/40ca010k_0.82952_01oc0213_-0.82952.wav
7,wham,/home/ubuntu/Data/wham/wham_noise/tr/408c020o_0.93537_40mo030s_-0.93537.wav
8,wham,/home/ubuntu/Data/wham/wham_noise/tr/01cc0211_2.329_20ga0105_-2.329.wav
9,wham,/home/ubuntu/Data/wham/wham_noise/tr/20eo010h_0.81219_01ko030h_-0.81219.wav
10,wham,/home/ubuntu/Data/wham/wham_noise/tr/029c0216_1.4516_20pc010e_-1.4516.wav
11,wham,/home/ubuntu/Data/wham/wham_noise/tr/022c020v_0.78193_401o030e_-0.78193.wav
12,wham,/home/ubuntu/Data/wham/wham_noise/tr/014a010r_0.098491_01wc020s_-0.098491.wav
13,wham,/home/ubuntu/Data/wham/wham_noise/tr/014c0217_1.7609_01xa0104_-1.7609.wav
14,wham,/home/ubuntu/Data/wham/wham_noise/tr/013a0108_2.0748_02cc020f_-2.0748.wav
15,wham,/home/ubuntu/Data/wham/wham_noise/tr/01oa010s_0.52303_40io030d_-0.52303.wav
16,wham,/home/ubuntu/Data/wham/wham_noise/tr/027o0313_0.97677_404c020r_-0.97677.wav
17,wham,/home/ubuntu/Data/wham/wham_noise/tr/204c010f_0.3372_20ja010g_-0.3372.wav
18,wham,/home/ubuntu/Data/wham/wham_noise/tr/40ec020t_1.8589_40oo0319_-1.8589.wav
19,wham,/home/ubuntu/Data/wham/wham_noise/tr/20nc0108_1.5519_02ao0304_-1.5519.wav
20,wham,/home/ubuntu/Data/wham/wham_noise/tr/01ec0214_1.8244_01io0314_-1.8244.wav
21,wham,/home/ubuntu/Data/wham/wham_noise/tr/40aa0106_1.9931_01ja0104_-1.9931.wav
22,wham,/home/ubuntu/Data/wham/wham_noise/tr/02eo031b_2.4132_406c020k_-2.4132.wav
23,wham,/home/ubuntu/Data/wham/wham_noise/tr/40ao0306_0.12431_01pc020x_-0.12431.wav
24,wham,/home/ubuntu/Data/wham/wham_noise/tr/01mc020y_1.9073_02ec0212_-1.9073.wav
25,wham,/home/ubuntu/Data/wham/wham_noise/tr/208a010u_2.4545_01ja010m_-2.4545.wav
26,wham,/home/ubuntu/Data/wham/wham_noise/tr/40no030e_2.1409_019o0312_-2.1409.wav
27,wham,/home/ubuntu/Data/wham/wham_noise/tr/403c020z_0.14869_01bc0219_-0.14869.wav
28,wham,/home/ubuntu/Data/wham/wham_noise/tr/014c021b_1.4045_40ka010k_-1.4045.wav
29,wham,/home/ubuntu/Data/wham/wham_noise/tr/20sc010i_1.0196_01no0305_-1.0196.wav
30,wham,/home/ubuntu/Data/wham/wham_noise/tr/01po030c_0.53053_40pc0213_-0.53053.wav
31,wham,/home/ubuntu/Data/wham/wham_noise/tr/40ec0206_0.082868_01yo030i_-0.082868.wav
32,wham,/home/ubuntu/Data/wham/wham_noise/tr/20ia0106_0.17416_406o030p_-0.17416.wav
33,wham,/home/ubuntu/Data/wham/wham_noise/tr/207o010e_0.99193_40dc0219_-0.99193.wav
34,wham,/home/ubuntu/Data/wham/wham_noise/tr/029c020d_0.54851_01ea0107_-0.54851.wav
35,wham,/home/ubuntu/Data/wham/wham_noise/tr/20ba010e_0.96816_20ga010q_-0.96816.wav
36,wham,/home/ubuntu/Data/wham/wham_noise/tr/01vo030v_2.2842_20fc010n_-2.2842.wav
37,wham,/home/ubuntu/Data/wham/wham_noise/tr/023o030p_0.20192_024o0309_-0.20192.wav
38,wham,/home/ubuntu/Data/wham/wham_noise/tr/022o0306_0.5795_20ka0110_-0.5795.wav
39,wham,/home/ubuntu/Data/wham/wham_noise/tr/408c0211_1.9059_01na010y_-1.9059.wav
40,wham,/home/ubuntu/Data/wham/wham_noise/tr/20vc010h_1.5792_01lo030n_-1.5792.wav
41,wham,/home/ubuntu/Data/wham/wham_noise/tr/40nc0209_0.90417_40pa0108_-0.90417.wav
42,wham,/home/ubuntu/Data/wham/wham_noise/tr/40ea010i_0.35113_403c0201_-0.35113.wav
43,wham,/home/ubuntu/Data/wham/wham_noise/tr/20tc010h_1.3294_016a010f_-1.3294.wav
44,wham,/home/ubuntu/Data/wham/wham_noise/tr/405a010t_1.6421_403o0307_-1.6421.wav
45,wham,/home/ubuntu/Data/wham/wham_noise/tr/40oc020j_0.1094_209a010g_-0.1094.wav
46,wham,/home/ubuntu/Data/wham/wham_noise/tr/019c020q_1.8031_20gc010b_-1.8031.wav
47,wham,/home/ubuntu/Data/wham/wham_noise/tr/40ka0108_2.1127_20fa010m_-2.1127.wav
48,wham,/home/ubuntu/Data/wham/wham_noise/tr/40do0304_0.24517_404o031a_-0.24517.wav
49,wham,/home/ubuntu/Data/wham/wham_noise/tr/021a0101_0.040236_40mo0303_-0.040236.wav
50,wham,/home/ubuntu/Data/wham/wham_noise/tr/026c020h_0.30087_20mc0108_-0.30087.wav
51,wham,/home/ubuntu/Data/wham/wham_noise/tr/20eo010b_2.0993_40cc020b_-2.0993.wav
52,wham,/home/ubuntu/Data/wham/wham_noise/tr/01so0304_1.6152_023o030d_-1.6152.wav
53,wham,/home/ubuntu/Data/wham/wham_noise/tr/20ca010s_2.3814_01vo030t_-2.3814.wav
54,wham,/home/ubuntu/Data/wham/wham_noise/tr/20la010y_1.3888_40cc021a_-1.3888.wav
55,wham,/home/ubuntu/Data/wham/wham_noise/tr/20cc010b_1.0263_01jo030x_-1.0263.wav
56,wham,/home/ubuntu/Data/wham/wham_noise/tr/40aa010p_0.23687_20nc0104_-0.23687.wav
57,wham,/home/ubuntu/Data/wham/wham_noise/tr/40bo030m_0.14469_01za0101_-0.14469.wav
58,wham,/home/ubuntu/Data/wham/wham_noise/tr/011c020t_2.1348_40ma010e_-2.1348.wav
59,wham,/home/ubuntu/Data/wham/wham_noise/tr/40ha0112_0.81141_01ka010f_-0.81141.wav
60,wham,/home/ubuntu/Data/wham/wham_noise/tr/205c010e_0.629_014a010j_-0.629.wav
